edad;loannumber;times_late;totaldue;loanamount;employment_status_clients_Permanent;termdays;bank_name_clients_GT Bank;times_loaned;referredby;good_bad_flag
48;2;0;13000;10000;0;30;1;1;1;1
36;2;1;13000;10000;1;30;0;1;0;0
35;4;2;13000;10000;0;30;0;3;0;1
30;2;1;11500;10000;1;15;1;1;0;1
31;6;2;24500;20000;1;30;0;5;0;1
29;2;0;13000;10000;1;30;0;1;0;1
27;2;0;13000;10000;0;30;0;1;0;0
51;2;0;13000;10000;1;30;0;1;0;1
27;7;5;34500;30000;0;30;0;6;0;1
36;5;1;24500;20000;1;30;1;4;0;1
33;4;3;13000;10000;1;30;0;3;0;1
34;2;0;13000;10000;1;30;1;1;0;1
33;7;4;13000;10000;1;30;0;6;0;0
39;3;0;13000;10000;1;30;0;2;0;1
31;8;1;27500;25000;0;30;0;7;0;1
34;7;3;39000;30000;1;60;0;6;0;1
37;7;3;22250;20000;1;15;0;6;0;1
36;2;0;13000;10000;1;30;0;1;1;1
32;11;2;44000;40000;1;30;0;10;0;1
34;6;3;24000;20000;1;30;1;5;0;1
38;2;0;13000;10000;1;30;1;1;0;1
39;7;1;34500;30000;1;30;0;6;0;1
35;2;0;11500;10000;0;15;1;1;0;1
44;2;0;11500;10000;1;15;1;1;0;1
34;2;1;13000;10000;1;30;0;1;0;1
33;8;0;34500;30000;1;30;1;7;0;1
42;10;3;34500;30000;1;30;0;9;0;1
45;2;0;13000;10000;1;30;0;1;0;1
39;12;3;52500;50000;0;30;0;11;0;1
49;2;0;13000;10000;1;30;0;1;0;1
30;2;0;13000;10000;1;30;0;1;0;1
33;3;2;13000;10000;1;30;0;2;0;1
40;2;0;11500;10000;1;15;1;1;0;1
37;13;2;11000;10000;0;30;0;12;0;1
33;4;1;11500;10000;1;15;0;3;1;1
27;2;0;11500;10000;0;15;0;1;0;1
47;2;1;13000;10000;1;30;0;1;0;1
33;9;4;34500;30000;0;30;1;8;0;0
32;4;1;24500;20000;1;30;0;3;0;1
34;9;0;33000;30000;1;30;0;8;0;1
32;3;0;24500;20000;1;30;1;2;0;1
32;2;1;13000;10000;1;30;1;1;0;0
38;3;2;13000;10000;0;30;1;2;0;1
38;3;0;13000;10000;1;30;0;2;0;1
32;11;1;44000;40000;1;30;0;10;0;1
34;4;1;11500;10000;1;15;1;3;0;1
36;3;2;13000;10000;1;30;0;2;1;0
36;2;0;13000;10000;1;30;1;1;1;1
48;2;0;13000;10000;1;30;1;1;0;1
34;5;2;24500;20000;0;30;0;4;0;1
34;4;1;13000;10000;1;30;1;3;0;1
29;13;4;48000;40000;1;60;1;12;0;1
31;5;3;11500;10000;1;15;1;4;0;0
56;2;0;13000;10000;0;30;0;1;0;1
44;6;1;11500;10000;1;30;0;4;0;1
42;3;0;13000;10000;1;30;0;2;0;1
39;4;1;24500;20000;1;30;1;3;0;1
37;2;0;13000;10000;1;30;0;1;0;1
36;4;0;24500;20000;0;30;1;3;0;0
46;5;1;24500;20000;1;30;0;4;0;1
35;4;2;13000;10000;0;30;1;3;0;0
36;5;3;13000;10000;0;30;1;4;0;1
37;2;0;11500;10000;1;15;0;1;0;1
34;6;0;24500;20000;1;30;0;5;0;1
31;2;1;11500;10000;0;15;0;1;0;0
34;2;0;11500;10000;1;15;1;1;1;1
49;4;1;24500;20000;0;30;1;3;1;1
30;6;3;22250;20000;1;15;1;5;0;1
32;3;1;13000;10000;1;30;1;2;0;0
39;3;1;13000;10000;1;30;1;2;0;1
30;3;1;13000;10000;1;30;1;2;0;1
36;7;2;18375;15000;1;30;1;6;0;1
26;10;5;16125;15000;0;15;0;9;0;1
29;3;1;39000;30000;0;60;1;1;0;0
27;2;1;13000;10000;1;30;0;1;0;1
36;2;0;13000;10000;0;30;1;1;0;0
35;3;0;11500;10000;1;15;1;2;0;1
30;8;2;34500;30000;1;30;1;7;0;1
30;2;0;11500;10000;1;15;1;1;0;1
36;5;0;24500;20000;1;30;0;4;1;1
42;3;0;13000;10000;1;30;0;2;0;1
44;10;5;23000;20000;1;30;1;9;0;1
39;11;9;48000;40000;1;60;0;10;0;0
32;2;0;11500;10000;1;15;0;1;0;1
32;2;1;13000;10000;1;30;0;1;0;1
37;6;0;24500;20000;1;30;1;5;0;1
45;5;0;24500;20000;1;30;0;4;1;1
32;5;0;11500;10000;1;15;1;4;0;1
31;4;2;13000;10000;1;30;0;3;0;0
41;15;4;44000;40000;1;30;0;14;0;0
39;3;0;24500;20000;1;30;0;2;0;1
28;7;4;11500;10000;0;30;0;6;0;1
41;7;3;39000;30000;1;60;1;6;0;1
37;22;7;52500;50000;0;30;1;21;0;1
27;5;1;12250;10000;0;30;0;4;0;1
34;5;1;13000;10000;1;30;0;4;0;1
41;2;0;13000;10000;1;30;1;1;0;1
30;2;0;13000;10000;0;30;0;1;0;0
36;2;0;11500;10000;1;15;0;1;0;1
54;7;1;34500;30000;0;30;0;6;0;1
27;2;1;13000;10000;1;30;0;1;0;0
36;6;2;34500;30000;1;30;0;5;0;1
35;17;8;44000;40000;1;30;1;16;0;0
31;7;2;10750;10000;1;15;1;6;0;1
39;3;2;13000;10000;1;30;0;2;0;1
