,Unnamed: 0,customerid,edad,bank_account_type_Current,bank_account_type_Other,bank_account_type_Savings,bank_name_clients_Access Bank,bank_name_clients_Diamond Bank,bank_name_clients_EcoBank,bank_name_clients_FCMB,bank_name_clients_Fidelity Bank,bank_name_clients_First Bank,bank_name_clients_GT Bank,bank_name_clients_Heritage Bank,bank_name_clients_Keystone Bank,bank_name_clients_Skye Bank,bank_name_clients_Stanbic IBTC,bank_name_clients_Standard Chartered,bank_name_clients_Sterling Bank,bank_name_clients_UBA,bank_name_clients_Union Bank,bank_name_clients_Unity Bank,bank_name_clients_Wema Bank,bank_name_clients_Zenith Bank,bank_branch_clients_ IDI - ORO MUSHIN,"bank_branch_clients_17, SANUSI FAFUNWA STREET, VICTORIA ISLAND, LAGOS","bank_branch_clients_40,SAPELE ROAD ,OPPOSITE DUMAZ JUNCTION BENIN CITY EDO STATE.","bank_branch_clients_47 LAGOS ROAD, IKORODU",bank_branch_clients_ABEOKUTA,bank_branch_clients_ABULE EGBA,"bank_branch_clients_ABULE EGBA U-TURN,BRANCH","bank_branch_clients_ACCESS BANK PLC, CHALLENGE ROUNDABOUT IBADAN, OYO STATE.",bank_branch_clients_ADENIRAN OGUNSANYA,bank_branch_clients_ADEOLA HOPEWELL,bank_branch_clients_AJOSE ADEOGUN,bank_branch_clients_AKOWONJO,bank_branch_clients_AKURE BRANCH,bank_branch_clients_AKUTE,bank_branch_clients_ALAUSA,bank_branch_clients_APAPA,bank_branch_clients_AWOLOWO,"bank_branch_clients_BOSSO ROAD, MINNA","bank_branch_clients_DUGBE, IBADAN","bank_branch_clients_DUGBE,IBADAN",bank_branch_clients_GBAGADA,bank_branch_clients_HEAD OFFICE,"bank_branch_clients_HERITAGE BANK, DUGBE, IBADAN",bank_branch_clients_ILUPEJU,bank_branch_clients_LADIPO,bank_branch_clients_LAGOS,bank_branch_clients_LEKKI EPE,bank_branch_clients_MAFOLUKU,bank_branch_clients_MEDICAL ROAD IKEJA,bank_branch_clients_MUSHIN BRANCH,bank_branch_clients_OAU ILE IFE,bank_branch_clients_OBA ADEBIMPE,bank_branch_clients_OBA AKRAN,bank_branch_clients_OBA AKRAN BERGER PAINT,"bank_branch_clients_OBA AKRAN ROAD, IKEJA,",bank_branch_clients_OGBA,"bank_branch_clients_OGUDU, OJOTA",bank_branch_clients_OJUELEGBA,bank_branch_clients_OREGUN,"bank_branch_clients_PLOT 999C DANMOLE STREET, ADEOLA ODEKU, VICTORIA ISLAND, LAGOS",bank_branch_clients_RING ROAD,"bank_branch_clients_STERLING BANK PLC 102, IJU ROAD, IFAKO BRANCH",bank_branch_clients_TINCAN,bank_branch_clients_TRANS AMADI,bank_branch_clients_UNKNOWN,"bank_branch_clients_WHARF ROAD, APAPA",employment_status_clients_Contract,employment_status_clients_Permanent,employment_status_clients_Retired,employment_status_clients_Self-Employed,employment_status_clients_Student,employment_status_clients_UNKNOWN,employment_status_clients_Unemployed,level_of_education_clients_Graduate,level_of_education_clients_Post-Graduate,level_of_education_clients_Primary,level_of_education_clients_Secondary,level_of_education_clients_UNKNOWN,loannumber,loanamount,totaldue,termdays,referredby,good_bad_flag,times_loaned,times_late,times_referred
0,0,8a858e135cb22031015cbafc76964ebd,48,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,10000.0,13000.0,30,1,1,1.0,0.0,1.0
1,1,8a858e275c7ea5ec015c82482d7c3996,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,10000.0,13000.0,30,0,0,1.0,1.0,0.0
2,2,8a858e5b5bd99460015bdc95cd485634,35,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,10000.0,13000.0,30,0,1,3.0,2.0,0.0
3,3,8a858efd5ca70688015cabd1f1e94b55,30,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,10000.0,11500.0,15,0,1,1.0,1.0,0.0
4,4,8a858ea05a859123015a8892914d15b7,31,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6,20000.0,24500.0,30,0,1,5.0,2.0,0.0
5,5,8a858f405d13c45f015d13dd93ec0c1c,29,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,10000.0,13000.0,30,0,1,1.0,0.0,0.0
6,6,8a858f2a5ce989dd015ce9fc24b1474b,27,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,10000.0,13000.0,30,0,0,1.0,0.0,0.0
7,7,8a858f3a5c10828d015c109746d20aee,51,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,10000.0,13000.0,30,0,1,1.0,0.0,0.0
8,8,8a858fb4563228d201564fd7519f22a8,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,7,30000.0,34500.0,30,0,1,6.0,5.0,0.0
9,9,8a858f955a61ad4e015a69ee1edd0d3d,36,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,5,20000.0,24500.0,30,0,1,4.0,1.0,0.0
